BZNR;BZNAME;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED
101;Bezirk Affoltern;1;4;11303;671862;686462;229137;245396;678300;235900;380;914;561;557
102;Bezirk Andelfingen;1;4;16652;684956;704388;264720;283343;693200;274000;342;694;437;426
103;Bezirk Bülach;1;4;18491;676551;693523;250961;276522;684800;263000;332;691;466;451
104;Bezirk Dielsdorf;1;4;15285;669244;684518;252441;269583;676400;260000;331;865;484;461
105;Bezirk Hinwil;1;4;17949;697374;716900;233458;248313;707300;240300;439;1290;685;644
106;Bezirk Horgen;1;4;10424;680480;696472;223896;243212;688400;231700;405;1227;605;601
107;Bezirk Meilen;1;4;8462;685168;703422;232392;245507;689700;240800;405;852;565;552
108;Bezirk Pfäffikon;1;4;16315;691820;713652;243859;258390;702700;249300;453;1072;635;626
109;Bezirk Uster;1;4;11223;686407;700227;236811;254014;689800;249400;426;845;503;482
110;Bezirk Winterthur;1;4;25175;687928;712737;251095;272191;700800;262200;369;890;528;508
111;Bezirk Dietikon;1;4;6012;669737;679229;241971;254508;674700;248700;378;799;483;475
112;Bezirk Zürich;1;4;8793;676224;689665;241584;254306;679500;249400;392;868;488;458
241;Arrondissement administratif Jura bernois;2;2;54172;556241;610093;212304;243834;580400;227900;429;1606;964;968
242;Verwaltungskreis Biel/Bienne;2;2;9757;575815;596458;211621;228480;587400;220900;422;1197;541;467
243;Verwaltungskreis Seeland;2;2;33397;568628;604428;202124;226634;587700;211900;424;821;492;472
244;Verwaltungskreis Oberaargau;2;2;33082;610705;634285;210714;238152;624100;225600;399;1231;585;550
245;Verwaltungskreis Emmental;2;2;69041;605003;639362;181694;224162;622800;204100;450;2196;805;787
246;Verwaltungskreis Bern-Mittelland;2;2;94625;572871;622384;168849;219079;601800;193800;448;2187;749;671
247;Verwaltungskreis Thun;2;2;32197;601204;632773;169610;187310;609000;176600;535;2189;945;901
248;Verwaltungskreis Obersimmental-Saanen;2;2;57501;581086;608971;130585;167180;594000;147300;793;3246;1657;1619
249;Verwaltungskreis Frutigen-Niedersimmental;2;2;77365;594691;631091;139997;174467;613900;157000;558;3694;1665;1642
250;Verwaltungskreis Interlaken-Oberhasli;2;2;122922;623477;677745;147409;182848;649600;167300;556;4269;1913;1892
311;Wahlkreis Luzern-Stadt;3;6;2910;658323;675204;205685;215024;664200;212000;419;1121;507;494
312;Wahlkreis Luzern-Land;3;6;18758;652360;681764;201632;221523;659200;207500;403;2074;743;636
313;Wahlkreis Hochdorf;3;6;17736;658916;673331;212970;237691;666100;223800;398;878;558;525
314;Wahlkreis Sursee;3;6;27308;643580;661767;210498;234867;652600;216000;471;866;635;636
315;Wahlkreis Willisau;3;6;33742;630127;648996;206022;236889;639400;221000;434;1403;670;646
316;Wahlkreis Entlebuch;3;6;42459;631826;655294;180569;214777;643700;197200;509;2347;1108;1055
400;Uri (KT);4;6;105738;673344;715795;153453;204585;690900;180300;429;3628;1932;1992
501;Bezirk Einsiedeln;5;6;9906;694482;709971;213304;226109;698300;220000;782;1614;1065;1021
502;Bezirk Gersau;5;6;1436;679020;685262;204835;209111;682800;206700;441;1698;1008;1020
503;Bezirk Höfe;5;6;3760;694120;703628;222918;229249;698500;226600;406;1205;696;693
504;Bezirk Küssnacht (SZ);5;6;2939;672166;679649;211331;218653;677700;213900;418;1797;652;547
505;Bezirk March;5;6;17674;702736;718719;208678;230751;711200;221500;404;2294;954;949
506;Bezirk Schwyz;5;6;49432;677979;716675;193658;221393;698700;207300;414;2800;1290;1278
600;Obwalden (KT);6;6;48066;646044;681479;178345;203582;658500;184300;433;3238;1361;1386
700;Nidwalden (KT);7;6;24135;659303;686418;180483;206111;673900;196100;432;2896;1178;1149
800;Glarus (KT);8;5;68071;709273;738138;183891;225967;723700;204400;410;3611;1589;1601
900;Zug (KT);9;6;20718;672418;695749;215061;233506;683800;223600;386;1579;696;694
1001;District de la Broye;10;2;17298;547264;570783;174242;197360;555800;185600;429;820;539;513
1002;District de la Glâne;10;2;16866;550643;569555;158288;182250;560100;169400;522;1205;765;756
1003;District de la Gruyère;10;2;48979;561947;590964;143053;174420;583700;163900;607;2387;1180;1144
1004;District de la Sarine;10;2;21774;564530;583315;170436;188921;573600;179600;520;1527;705;682
1005;Bezirk See / District du Lac;10;2;14483;569844;584560;187358;206219;573500;190900;428;670;519;526
1006;Bezirk Sense;10;2;26526;577550;595531;164948;194780;586600;181500;482;2237;879;757
1007;District de la Veveyse;10;2;13431;551832;567183;147221;164043;560200;155700;631;2013;1007;888
1101;Bezirk Gäu;11;2;6205;618618;630402;233968;243380;625200;238200;398;1033;501;451
1102;Bezirk Thal;11;2;13939;598301;626451;232424;246879;614000;240200;470;1330;809;796
1103;Bezirk Bucheggberg;11;2;6268;594769;606911;213703;228182;601600;220000;424;671;531;532
1104;Bezirk Dorneck;11;2;7470;598658;620450;250941;261330;616100;255600;281;897;561;571
1105;Bezirk Gösgen;11;2;6867;629836;644453;244707;257027;637800;249000;362;993;582;561
1106;Bezirk Wasseramt;11;2;7667;605427;619880;221852;231006;612000;226300;418;595;462;458
1107;Bezirk Lebern;11;2;11717;592560;613794;223174;236171;602600;230200;417;1444;705;578
1108;Bezirk Olten;11;2;8057;626820;644759;235131;249321;631300;241700;363;1122;502;446
1109;Bezirk Solothurn;11;2;628;605355;608612;227225;229926;606900;228600;423;499;439;433
1110;Bezirk Thierstein;11;2;10227;595270;615545;242062;255060;609500;247900;325;1204;653;637
1200;Basel-Stadt (KT);12;3;3695;608732;619190;263184;272279;611300;267500;244;522;294;272
1301;Bezirk Arlesheim;13;3;9624;604462;617812;254897;268190;611100;259700;244;764;350;330
1302;Bezirk Laufen;13;3;8955;591442;614134;247622;257754;604900;252900;293;865;503;485
1303;Bezirk Liestal;13;3;8585;617091;626686;251338;265461;621800;259000;254;756;423;425
1304;Bezirk Sissach;13;3;14104;625363;639480;247112;265027;632100;256000;333;1001;561;563
1305;Bezirk Waldenburg;13;3;10499;614650;630615;243060;254962;623300;248900;388;1167;698;680
1401;Bezirk Oberklettgau;14;5;3188;676907;684640;279043;288362;680700;282300;391;868;513;481
1402;Bezirk Reiat;14;5;3933;689333;697700;283013;295143;693300;289300;391;704;531;516
1403;Bezirk Schaffhausen;14;5;10574;682370;695085;267449;295934;687400;286900;343;912;563;532
1404;Bezirk Schleitheim;14;5;4363;675846;684830;284259;293269;678000;289000;444;911;613;581
1405;Bezirk Stein;14;5;3097;699871;707982;278679;288420;704100;283600;392;684;461;430
1406;Bezirk Unterklettgau;14;5;4660;672513;682345;276929;287127;674900;282400;389;641;484;481
1501;Bezirk Hinterland;15;5;13616;732375;745547;234615;251776;739000;244000;587;2501;962;913
1502;Bezirk Mittelland;15;5;6027;743496;756530;245931;255666;751300;250400;565;1250;936;936
1503;Bezirk Vorderland;15;5;4641;751877;765346;251660;259712;755200;254600;429;1130;821;831
1600;Appenzell Innerrhoden (KT);16;5;17248;741441;764416;233274;257039;748500;241500;539;2501;1128;1029
1721;Wahlkreis St. Gallen;17;5;15767;733811;757775;251007;266283;742800;256800;449;1074;670;652
1722;Wahlkreis Rorschach;17;5;5046;745563;761628;256279;263571;751200;259800;384;899;514;495
1723;Wahlkreis Rheintal;17;5;13894;754722;768769;237426;261716;761100;248100;395;1794;531;425
1724;Wahlkreis Werdenberg;17;5;20651;742483;758283;214560;238920;751800;225900;426;2381;992;877
1725;Wahlkreis Sarganserland;17;5;51774;729148;760298;193270;224325;745200;208700;420;3229;1498;1553
1726;Wahlkreis See-Gaster;17;5;24585;702789;736397;221154;242100;720600;230300;392;2100;827;766
1727;Wahlkreis Toggenburg;17;5;48859;713648;748651;223061;256076;729700;238900;521;2500;999;906
1728;Wahlkreis Wil;17;5;14523;717950;736249;245594;262913;728600;256100;470;1060;606;582
1821;Bezirk Albula;18;5;69347;754958;787564;141615;182239;769200;163500;720;3415;2085;2158
1822;Distretto di Bernina;18;5;23731;793641;811068;121819;146806;802300;133700;514;3903;2041;2114
1823;Bezirk Hinterrhein;18;5;61762;722860;767116;138909;186521;750100;161100;599;3400;1964;2044
1824;Bezirk Imboden;18;5;20380;735215;757141;180802;197720;746600;190200;555;3239;1537;1444
1825;Bezirk Inn;18;5;119655;790565;833841;157707;209715;815400;181500;988;3408;2245;2307
1826;Bezirk Landquart;18;5;19323;753602;768914;191226;214817;761100;202500;477;2804;1191;1087
1827;Bezirk Maloja / Distretto di Maloggia;18;5;97365;755109;804057;128433;174706;783600;149600;664;4047;2392;2448
1828;Distretto di Moesa;18;5;49606;724446;743278;114572;154077;733800;134700;253;3281;1726;1802
1829;Bezirk Plessur;18;5;26674;756066;780692;177796;195161;767400;186900;541;2979;1735;1818
1830;Bezirk Prättigau-Davos;18;5;85340;763745;802711;171440;214786;783200;191100;561;3296;1908;1958
1831;Bezirk Surselva;18;5;137356;692837;748347;150436;194955;723000;172700;615;3611;1970;2028
1901;Bezirk Aarau;19;3;10449;639583;653234;240057;257519;647100;248700;355;907;488;457
1902;Bezirk Baden;19;3;15308;658689;675606;247075;266682;665400;256100;325;859;464;437
1903;Bezirk Bremgarten;19;3;11747;658422;676826;237887;251434;667600;245000;346;741;485;474
1904;Bezirk Brugg;19;3;14510;647204;661766;251313;268547;654700;258800;325;800;467;452
1905;Bezirk Kulm;19;3;9727;644119;658999;230370;243289;652600;237500;431;872;579;574
1906;Bezirk Laufenburg;19;3;15679;637806;655905;253219;271947;646100;262700;288;870;465;461
1907;Bezirk Lenzburg;19;3;9810;650210;662054;236022;254891;656200;246500;344;712;461;447
1908;Bezirk Muri;19;3;13896;661725;674060;221173;244270;669000;233300;376;854;501;469
1909;Bezirk Rheinfelden;19;3;11178;620701;641082;259077;270995;630800;267500;255;750;401;376
1910;Bezirk Zofingen;19;3;14203;629237;649383;231360;244523;634200;236500;388;713;496;483
1911;Bezirk Zurzach;19;3;13000;653960;674274;262096;274775;663900;268200;299;611;429;422
2011;Bezirk Arbon;20;5;8907;736167;753428;260087;273830;739700;268300;395;598;448;442
2012;Bezirk Frauenfeld;20;5;27961;692316;720576;262878;283504;708800;273900;368;721;486;467
2013;Bezirk Kreuzlingen;20;5;12917;718780;740933;270414;281562;729200;276100;394;721;510;516
2014;Bezirk Münchwilen;20;5;13819;708724;724913;248321;266562;715500;258600;422;990;600;579
2015;Bezirk Weinfelden;20;5;22708;717313;741841;259769;276132;728600;267200;404;775;514;507
2101;Distretto di Bellinzona;21;7;20558;714025;732915;108226;127851;722200;116600;199;2437;988;992
2102;Distretto di Blenio;21;7;36057;701988;727971;137179;165701;716300;150900;348;3400;1825;1894
2103;Distretto di Leventina;21;7;47959;672473;717534;129207;160093;695000;153800;285;3156;1816;1912
2104;Distretto di Locarno;21;7;55014;679073;716038;103496;140251;697500;112800;192;2861;1263;1264
2105;Distretto di Lugano;21;7;30806;704395;727690;85241;111696;716000;101200;231;2226;802;716
2106;Distretto di Mendrisio;21;7;10088;714498;728090;75272;88051;721000;81800;220;1614;610;566
2107;Distretto di Riviera;21;7;16647;712495;727488;121731;140014;720400;131300;235;2953;1361;1451
2108;Distretto di Vallemaggia;21;7;56934;676210;705058;116221;150578;689900;133800;244;3269;1657;1720
2221;District d'Aigle;22;1;43498;555620;583943;115148;143632;570400;130400;371;3209;1335;1420
2222;District de la Broye-Vully;22;1;26346;544158;573697;159120;203190;555000;171300;428;926;581;553
2223;District du Gros-de-Vaud;22;1;23220;528717;551675;156946;177225;539900;166900;394;916;658;646
2224;District du Jura-Nord vaudois;22;1;70099;498192;551074;153188;198584;527500;176500;428;1650;892;907
2225;District de Lausanne;22;1;6515;533834;544978;150856;161554;539400;154900;371;930;675;671
2226;District de Lavaux-Oron;22;1;13458;538655;558873;147116;161249;548500;154300;375;985;715;720
2227;District de Morges;22;1;37307;507956;533557;145961;171529;521400;158300;371;1679;706;629
2228;District de Nyon;22;1;30736;494307;518549;127860;155694;504700;144300;372;1676;858;786
2229;District de l'Ouest lausannois;22;1;2634;530091;536651;151210;159628;533400;154900;371;612;444;427
2230;District de la Riviera-Pays-d'Enhaut;22;1;28298;550753;585462;136032;155886;576700;143900;373;2547;1287;1322
2301;Bezirk Brig;23;1;43419;633081;656165;105560;146566;644900;125700;649;4191;2156;2191
2302;District de Conthey;23;1;23420;576220;594585;101000;129470;585400;121700;468;3333;1706;1765
2303;District d'Entremont;23;1;63295;566656;603835;78560;108038;583400;92700;627;4311;2300;2358
2304;Bezirk Goms;23;1;58923;637908;679790;128628;167426;659600;147600;867;4272;2444;2465
2305;District d'Hérens;23;1;47141;592703;613418;89268;137199;602100;104500;506;4355;2311;2410
2306;Bezirk Leuk;23;1;33526;606919;624987;106620;143767;617400;127600;533;4190;2018;2191
2307;District de Martigny;23;1;26337;562049;588943;92198;120691;574800;107300;449;3540;1443;1427
2308;District de Monthey;23;1;25678;548580;564572;108833;138153;560500;122000;371;3252;1295;1401
2309;Bezirk Raron;23;1;39816;619248;659118;118713;149776;628800;135600;625;4194;2096;2159
2310;District de Saint-Maurice;23;1;19058;553842;572938;99148;122979;563900;109900;391;3254;1685;1886
2311;District de Sierre;23;1;41796;597875;621453;97328;137519;609700;117900;492;4497;2026;2138
2312;District de Sion;23;1;12561;581674;598969;115550;135984;585900;130100;476;3197;1578;1640
2313;Bezirk Visp;23;1;86420;610566;646197;85106;140945;631200;104900;635;4631;2596;2688
2401;District de Boudry;24;2;10548;544997;559009;190995;207171;551200;200100;428;1464;799;715
2402;District de la Chaux-de-Fonds;24;2;9300;546655;558285;207164;224026;552700;215900;609;1330;1056;1056
2403;District du Locle;24;2;14374;527484;551072;199588;215911;545100;206500;709;1336;1086;1087
2404;District de Neuchâtel;24;2;8003;558511;573301;203306;217996;567100;210600;421;1477;727;702
2405;District du Val-de-Ruz;24;2;12807;551092;569749;204383;219672;560000;211900;588;1549;1006;1000
2406;District du Val-de-Travers;24;2;16643;523392;547640;188829;203194;533600;196600;691;1468;1027;1066
2500;Genève (KT);25;1;24580;485411;512974;109645;135578;492300;115900;331;517;426;425
2601;District de Delémont;26;2;30318;576140;609050;237043;254367;591900;244400;382;1294;665;646
2602;District des Franches-Montagnes;26;2;20023;554671;579696;222308;242815;568100;233200;442;1184;923;974
2603;District de Porrentruy;26;2;33510;557722;585488;240328;261608;572800;251200;363;979;568;535
